Country Name,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,GDP per capita (current US$),554.59473461788,621.912413814308,663.141052810937,651.987861948108,628.146803888496,592.476164793256,520.251954939821,530.14986261654,502.057099211089,500.52298078433,516.866797351726,363.674087113049,553.8151511574616
Albania,GDP per capita (current US$),4094.34969883571,4437.14114631148,4247.63135624709,4413.06339738921,4578.63320812155,3952.80358410846,4124.05538986272,4531.03220675893,5287.66081699731,5396.21422690995,5343.0377039956,6377.20309553753,6802.80451885113
Algeria,GDP per capita (current US$),4495.92145548343,5473.28180110324,5610.73330610332,5519.77757552373,5516.22946321562,4197.41997101868,3967.20065952107,4134.93609898195,4171.79530903532,4021.98360796603,3354.15730265114,3700.31119460857,4273.92218311515
Andorra,GDP per capita (current US$),48237.8911734423,51428.1969548606,44902.3807653946,44747.7538640509,45680.5349900379,38885.5303237179,39931.2169819106,40632.2315536054,42904.8284555114,41328.6004993451,37207.2220000095,42072.341103463,41992.7933583772
Angola,GDP per capita (current US$),3496.78479608032,4511.15322719034,4962.55207190082,5101.98387641128,5059.08044128816,3100.83068530533,1709.51553404553,2283.21423255725,2487.50099555267,2142.23875712854,1502.95075414518,1903.71740495688,2998.50115810921
Antigua and Barbuda,GDP per capita (current US$),13404.5160161036,13117.1469408968,13686.4765853976,13350.149136673,14004.8112122163,14861.8827074704,15862.6516627488,16110.31239978,17514.3558637327,18187.7797117112,15284.7723835378,16740.3481963818,18745.1735087796
Argentina,GDP per capita (current US$),10385.9644319555,12848.7404762598,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2640639201,14613.035714704,11795.1628852236,9963.67423069626,8496.428156755,10636.1155301986,13686.0086737317
Armenia,GDP per capita (current US$),3143.02948216523,3462.6817742332,3643.71540446926,3833.15707143416,4017.22991251531,3666.14182536082,3679.95234910427,4041.99507231389,4391.92327364082,4828.50488860645,4505.86774552638,4966.51347122366,7014.20659172274
Aruba,GDP per capita (current US$),24452.9283634427,26044.4359333351,25609.9557239373,26515.678080228,26942.3079764655,28421.3864931862,28451.2737445083,29326.7080582111,30918.5152176932,31902.7625819564,24487.863569428,29342.1007300268,27701.326372701544
Australia,GDP per capita (current US$),52132.469607935,62598.6866176979,68047.3781775015,68156.3861047269,62515.3148315008,56708.96119674,49876.7123761245,53934.1543741253,57206.9906696898,54941.0657202842,51722.0690001531,60444.5023551978,64491.4298860631
Austria,GDP per capita (current US$),46903.7615854354,51442.2762464411,48564.9173350875,50731.1272541851,51786.3771747897,44195.8175947748,45307.5878620442,47429.1584564391,51466.5565633624,50070.4033482892,48809.2268762235,53637.7057109897,52131.4466586387
Azerbaijan,GDP per capita (current US$),5843.5337683582,7189.81515142228,7495.86194235033,7875.3446110554,7890.83525042681,5500.50462041954,3880.68626683773,4147.19861886412,4739.79524170312,4805.75371765917,4229.91064904503,5408.04535175023,7736.70123206975
"Bahamas, The",GDP per capita (current US$),27046.6576651879,26644.9265775896,28059.6553953426,27389.6019706988,28720.6621934516,29724.9533355233,29675.5358910641,30708.9870181946,31483.9788408235,32279.0113630465,23998.2680191207,28260.4325506367,31458.300811739
Bahrain,GDP per capita (current US$),21186.8143292279,23741.5574626702,25102.726348527,25790.7303121382,25464.760097715,22795.4488576612,22867.1811196134,24349.9098701325,25415.8466249472,25869.1129129041,23433.1872362574,26860.0725018105,30152.0346838601
Bangladesh,GDP per capita (current US$),776.859576940281,856.381886818701,876.818006772634,973.773900233539,1108.51495720707,1236.00439770048,1659.96248898672,1815.61019133661,1963.41270740562,2122.0783861524,2233.30589251829,2457.92404902236,2688.30395035828
Barbados,GDP per capita (current US$),16489.7958217909,16907.2092592727,16691.3326357636,16893.6062702039,16924.1903399365,16990.2194668498,17343.7254395315,17843.1979282703,18224.8905923744,19002.9623813263,16643.8065787177,17225.4623044097,20018.5151513054
Belarus,GDP per capita (current US$),6034.67885177216,6527.65496891514,6953.21730687953,7998.07795284714,8341.28810376533,5967.0691848005,5039.77603167897,5785.53497525452,6360.05206042843,6837.76723174438,6542.8645398436,7489.71894713888,7904.85624285517
Belgium,GDP per capita (current US$),44184.946353965,47410.5669277467,44670.5606845101,46757.9518559601,47764.0715120825,41008.296719472,42012.6227191027,44198.4823908695,47544.9811472749,46641.7116578097,45517.9038182019,51268.3880373598,49582.8253649187
Belize,GDP per capita (current US$),5397.29157482319,5521.36627642336,5645.89582239311,5887.93343545467,6068.08860885237,6142.47883269283,6148.70696109313,6100.99468097883,6059.16255306675,6210.56554311929,5266.87616004213,6228.26730928353,6968.36158480889
Benin,GDP per capita (current US$),1009.48949432994,1099.41431139182,1112.56953520697,1214.29556576578,1251.50476542685,1041.65252315982,1049.82030349922,1095.27445905127,1194.43821427137,1170.96553298105,1237.9492953503,1361.10074905831,1303.22201358944
Bermuda,GDP per capita (current US$),101875.28407346,97774.1620717428,98431.8651810241,99471.6388978631,98467.683993982,102005.62564189,106885.878489327,111820.581466347,113050.73688163,116153.166121638,107791.886435134,111774.669092278,118845.621104325
Bhutan,GDP per capita (current US$),2194.12587023264,2491.27345640704,2470.0721358991,2409.43998870348,2589.89914074134,2695.63690417126,2879.54657217991,3240.70632594822,3210.70781406979,3303.96230868215,3009.92551590976,3266.36277371286,2813.4715672214625
Bolivia,GDP per capita (current US$),1922.05866181583,2304.98229547312,2562.46678423329,2853.79716191598,3022.46288443562,2975.64881143063,3013.50270721666,3280.0082139387,3471.0069506501,3472.38083136442,3068.81255516456,3345.19658838387,3523.27373305196
Bosnia and Herzegovina,GDP per capita (current US$),4506.93366912263,4980.90615523376,4688.34590186606,5025.24065229631,5196.96942563586,4654.60955224718,4917.26369838618,5327.39318443711,6024.49154590957,6094.72321376258,6095.10247869327,7230.19816280366,7585.37500171521
Botswana,GDP per capita (current US$),6041.73205119653,7080.77829746932,6392.98734736839,6436.60306321162,6844.03299550537,5869.73777207249,6411.55166554553,6705.34106167973,6947.81784114167,6691.16105117407,5875.07060571282,7238.79609591086,7737.65468112589
Brazil,GDP per capita (current US$),11249.2937410718,13200.5581661879,12327.5155558345,12258.5648491717,12071.4046547485,8783.21441310718,8680.73542054827,9896.7175109967,9121.02009249958,8845.3239312417,6923.70019715065,7696.78553127562,8917.67389796927
Brunei,GDP per capita (current US$),34609.6999594925,46139.1068369475,46844.1967205228,43950.0570624107,41035.7731365374,30681.4374376753,26762.0374289176,28186.9833864683,31241.0239732766,30748.3201899098,27179.3444218249,31448.9136078023,37152.4662378669
Bulgaria,GDP per capita (current US$),6862.75768747522,7856.9859584228,7431.01404543523,7686.62922249699,7912.52053999441,7081.10233572915,7574.19126408348,8386.58920224077,9451.850869564,9878.76887237072,10153.4766003869,12222.235645941,13772.476794451
Burkina Faso,GDP per capita (current US$),627.270395424425,727.612474945609,733.972878936782,762.303780331201,767.371344245295,632.126685840944,665.786328528158,711.184543938412,779.202768060739,772.166877547544,833.244336106076,893.077195986297,832.884265674075
Burundi,GDP per capita (current US$),222.660583148072,236.451347423735,238.205945258781,241.547665658082,257.818557465694,289.359627144769,242.539527360495,244.145422138192,232.060616581243,216.972970864849,216.827417445762,221.15780340632,238.44187565548
Cambodia,GDP per capita (current US$),782.695738661233,880.310304425532,950.482544612158,1015.2208813493,1098.07453750857,1170.74281578324,1281.10597109735,1400.89926526097,1533.31598456036,1671.38540009767,1577.91173993243,1625.2350215138,1786.56081858524
Cameroon,GDP per capita (current US$),1383.81386416854,1497.92658563929,1433.72392714331,1559.13904964956,1631.71398553289,1399.67533596847,1426.06548098045,1479.86222292155,1594.06010909489,1538.68791202148,1539.13054650019,1666.93280948232,1588.47872338696
Canada,GDP per capita (current US$),47562.0834253057,52223.696112356,52669.0899632316,52635.1749580433,50955.9983232404,43596.1355365546,42315.6037056806,45129.4292980922,46547.7951820036,46374.1527517191,43349.677855557,52358.6216405155,54966.4888361088
Cape Verde,GDP per capita (current US$),3500.97745196395,3880.06918190627,3583.46171744213,3757.65995326233,3739.27827890219,3169.0789154116,3312.69675666873,3534.34358304479,3860.45481136132,3928.30909558631,3223.73560213047,3557.83777540965,3902.58904940059
Cayman Islands,GDP per capita (current US$),76873.1953208127,75435.6152271054,75466.1358699971,75685.3583652828,76610.647967975,77295.8456647776,78858.2796562866,81255.1122691866,85231.7751511594,89846.3210991824,83897.5052077489,88475.6008787475,80410.94938985516
Central African Republic,GDP per capita (current US$),459.776981626072,515.209503796684,525.867503569855,352.226854976587,394.856933074796,351.879754779905,372.135456053456,414.740322572797,435.93229629544,426.408752988942,435.469248170025,461.137510928519,427.058096252078
Chad,GDP per capita (current US$),896.876704216275,988.194160636686,969.616141908901,980.083544666224,1017.78776234557,774.411603146897,691.98007735414,662.89747343383,720.265100910693,701.621200811434,643.772216240999,685.690314996613,716.804381236651
Chile,GDP per capita (current US$),12767.7820406263,14628.5724573037,15406.4928361503,15833.2759194461,14666.3431168586,13569.9481274733,13785.6875977318,15045.5278507601,15795.7081412484,14627.14501648,13165.3863429858,16247.4010150765,15355.5064965406
China,GDP per capita (current US$),4550.47392427081,5614.38573851229,6300.58235236313,7020.38568208449,7636.07422276004,8016.44601585644,8094.39037512163,8817.04549566316,9905.4061175104,10143.8602060373,10408.7191247747,12617.5049863004,12720.2156397612
Colombia,GDP per capita (current US$),6392.75802564032,7392.9435995632,8096.80150977527,8263.64192942212,8167.47284156278,6228.65162186096,5936.26102166829,6449.97098726073,6782.0379203319,6436.50921529531,5304.28912886637,6182.70709867969,6630.28272608054
Comoros,GDP per capita (current US$),1384.06328381602,1526.83263817748,1483.95155852999,1595.98981855871,1608.68787502176,1322.93677460001,1357.26622888841,1414.58668930426,1531.33781085768,1510.7973226286,1519.58677981636,1577.47084066118,1484.8924647255
"Congo, Dem. Rep.",GDP per capita (current US$),324.827725981436,376.374981122052,412.776260686934,444.864357393335,472.266235961574,482.064568490893,456.027950503848,451.089088632243,546.212593331533,575.882781272568,524.666686258939,577.209215199828,586.464288888955
"Congo, Rep.",GDP per capita (current US$),2962.76247997267,3415.0623762032,3753.86092474115,3719.65103717713,3622.53007355844,2347.81850686004,1970.25019879955,2088.5002986615,2512.38416688863,2288.80808614703,1838.44812411674,2290.38299445343,2447.98898873051
Costa Rica,GDP per capita (current US$),8147.24398481032,9137.45510202159,9971.65165625728,10633.2665598785,10737.6788753949,11529.9551735671,11899.8139783719,12118.1336180615,12383.1499469519,12669.3411617396,12179.2566742377,12537.2567461753,13198.8217168097
Cote d'Ivoire,GDP per capita (current US$),1654.17795875222,1701.70464076523,1649.30161477828,1903.0542292873,2124.01943006075,1941.5818977126,1999.19537158364,2113.34152529371,2295.5403346362,2290.78737894782,2349.06988200032,2613.37889305378,2486.41219393777
Croatia,GDP per capita (current US$),13664.2088391124,14623.9905306334,13410.8208102542,13949.1217681988,13970.9832274478,12071.090955025,12550.7088600004,13562.1440493296,15003.1406807658,15086.2117396215,14236.5352454642,17747.7892862107,18413.2346820557
Cuba,GDP per capita (current US$),5275.53260105122,6106.0067919258,6467.33791422804,6814.24384354868,7117.52691001591,7683.75789050585,8055.88990736388,8543.36096849045,8831.90722233737,9139.41585605765,9499.59020230432,7594.051827984469,7594.051827984469
Cyprus,GDP per capita (current US$),31105.02734375,32485.802734375,28991.9296875,27797.453125,27244.34375,23487.21875,24715.142578125,26697.005859375,29419.88671875,29417.921875,28035.984375,31552.03515625,31283.505859375
Czech Republic,GDP per capita (current US$),19960.0684872157,21871.2660754128,19870.8012123403,20133.1691431353,19890.9199056648,17829.6983223668,18575.2320271915,20636.199952435,23424.4804601855,23664.8478631108,22992.8793833348,26822.5141862111,27638.3732756288
Denmark,GDP per capita (current US$),58041.3984363385,61753.647131977,58507.5080517852,61191.1937042028,62548.9847332908,53254.8563700916,54663.9983719195,57610.0981801135,61591.9288698958,59592.9806886454,60915.4243995462,68007.7566732954,66983.1320017138
Djibouti,GDP per capita (current US$),1227.82085311429,1322.72625083956,1418.46085811933,2102.19794830208,2239.11453821208,2409.31190224284,2545.73879850905,2655.73321960188,2755.83829341814,2876.04366371536,2917.9962809563,3050.30628163732,3136.11296031934
Dominica,GDP per capita (current US$),7182.40020254419,7288.49794777466,7054.87597689432,7240.67911908479,7498.91752183776,7724.04241057376,8223.04145029796,7408.09130082314,7833.19501250117,8561.58701121461,7003.46989117043,7668.15813216962,8414.53659276775
Dominican Republic,GDP per capita (current US$),5509.56805406696,5859.38154480292,6049.47161121834,6171.29506392047,6533.67096798065,6838.9367346602,7191.06971254766,7513.49795078555,7947.1593538657,8173.34464573914,7167.91493205787,8476.7496882797,10120.5511632969
East Timor,GDP per capita (current US$),810.141609538386,936.598363307025,1019.96491092367,1201.42360886915,1221.53422853912,1322.30088745104,1347.92636060894,1283.52588207378,1239.36608695997,1584.26382222333,1660.30830887811,2741.39394462437,2358.4090544008
Ecuador,GDP per capita (current US$),4640.24634437845,5202.65645902066,5678.45572070003,6050.3546113274,6374.6314856366,6130.58667556768,6079.08873612077,6246.40425217932,6321.34940071717,6233.25816692363,5645.19928965332,5965.13287054416,6391.28248430643
"Egypt, Arab Rep.",GDP per capita (current US$),2509.77203417522,2645.6225349104,3059.13542779204,3088.8908340843,3196.86138078687,3370.38244716015,3331.61246134688,2439.96728439968,2531.20007864537,3017.25833578941,3571.5569065135,3886.7224983901,4295.40749561014
El Salvador,GDP per capita (current US$),3017.3073947577,3304.97418347889,3471.05126865498,3555.16209958481,3638.51765819162,3761.51368000275,3870.31298246063,3986.04901435439,4145.86235103186,4280.28840404719,3961.72663347599,4664.31122268385,5127.32166823012
Eritrea,GDP per capita (current US$),504.972460176652,643.790042311239,574.3812512439455,574.3812512439455,574.3812512439455,574.3812512439455,574.3812512439455,574.3812512439455,574.3812512439455,574.3812512439455,574.3812512439455,574.3812512439455,574.3812512439455
Estonia,GDP per capita (current US$),14663.0446126465,17487.8047830923,17403.2053254767,19056.0019226991,20261.0667303883,17402.0376128079,18295.3429322119,20437.7653767361,23165.8494786433,23424.4847073513,23595.2436836437,27943.701219882,28332.6290917984
