Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Albania,44.4,61.4,67.4,53.857142857142854,53.857142857142854,53.857142857142854,53.857142857142854,53.0,50.7,50.5,49.6,53.857142857142854
Algeria,54.61666666666667,54.61666666666667,57.2,54.61666666666667,54.61666666666667,54.61666666666667,54.1,54.9,55.0,52.9,53.6,54.61666666666667
Argentina,78.3,76.7,75.2,73.7,73.3,71.3,69.4,69.3,68.6,69.3,68.9,72.18181818181817
Armenia,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3
Australia,75.6,73.6,71.9,73.7,74.2,76.2,76.4,77.4,77.7,78.1,75.3,75.46363636363637
Austria,81.5,79.7,78.4,77.8,80.9,78.8,79.2,78.7,78.4,76.7,77.2,78.84545454545456
Azerbaijan,28.7,38.56666666666667,23.9,38.56666666666667,38.56666666666667,38.56666666666667,38.56666666666667,43.2,44.0,44.8,46.8,38.56666666666667
Bahrain,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4
Bangladesh,42.725,42.725,43.3,42.725,43.5,44.6,40.3,42.8,42.7,42.3,42.3,42.725
Belarus,50.16250000000001,48.0,45.4,50.16250000000001,53.8,50.16250000000001,58.0,59.0,44.4,45.6,47.1,50.16250000000001
Belgium,81.5,78.0,77.9,78.1,78.9,80.4,79.4,74.3,75.2,75.5,75.2,77.67272727272729
Bolivia,67.4,51.5,49.8,56.23333333333333,56.23333333333333,56.23333333333333,56.23333333333333,56.23333333333333,56.23333333333333,56.23333333333333,56.23333333333333,56.23333333333333
Bosnia And Herzegovina,54.5,54.4,52.1,60.5,61.5,55.9,53.2,52.3,53.5,54.3,54.9,55.19090909090908
Brazil,57.6,53.7,52.2,51.1,51.7,52.7,54.6,56.3,57.3,57.8,58.2,54.83636363636364
Bulgaria,54.6,58.0,58.5,50.9,54.0,52.1,54.0,55.4,56.1,56.4,56.7,55.154545454545456
Cambodia,53.8,53.8,54.2,52.800000000000004,52.800000000000004,52.800000000000004,52.800000000000004,52.800000000000004,52.800000000000004,49.4,52.800000000000004,52.800000000000004
Canada,72.8,71.9,69.6,68.6,69.2,70.6,71.0,71.6,71.8,71.3,70.4,70.79999999999998
Chile,61.5,58.7,58.5,61.1,61.0,61.9,65.5,65.4,63.7,64.0,64.4,62.33636363636364
China,60.9,65.1,58.7,61.2,62.2,62.9,64.0,64.5,66.4,66.4,67.5,63.61818181818182
Colombia,77.3,68.5,68.9,73.2,65.8,67.8,67.5,67.2,66.7,67.2,67.9,68.90909090909092
Costa Rica,77.1,63.9,62.0,64.1,60.2,64.1,62.6,62.4,62.9,62.7,63.1,64.1
Croatia,50.0,55.9,57.3,60.0,65.5,63.8,64.1,62.7,64.2,64.1,63.9,61.04545454545455
Cuba,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0
Cyprus,70.0,68.7,78.4,72.9,54.2,55.1,50.2,51.8,52.7,52.0,54.7,60.06363636363637
Czech Republic,62.0,66.3,67.2,72.3,74.1,75.4,74.7,74.6,75.4,75.3,75.5,72.07272727272726
Denmark,86.1,85.6,79.3,81.9,75.4,77.1,79.4,80.0,80.0,80.1,79.2,80.37272727272727
Dominican Republic,59.879999999999995,59.879999999999995,78.7,59.879999999999995,59.879999999999995,59.879999999999995,59.879999999999995,54.7,55.0,55.5,55.5,59.879999999999995
Ecuador,64.8,59.4,63.1,65.7,69.2,67.28999999999999,72.5,70.6,68.8,69.3,69.5,67.28999999999999
Egypt,59.1,61.3,54.7,46.6,43.7,44.4,44.2,45.8,46.2,47.0,47.6,49.14545454545455
