Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,158.0,136.0,128.0,95.0,92.0,96.0,111.8,111.8,111.8,111.8,56.0,175.0,166.0,135.0,95.0,114.0,73.0,62.0,96.0,111.8,111.8
Algeria,756.9230769230769,406.0,756.9230769230769,821.0,954.0,890.0,845.0,783.0,733.0,826.0,708.0,801.0,906.0,756.9230769230769,756.9230769230769,756.9230769230769,756.9230769230769,573.0,594.0,756.9230769230769,756.9230769230769
Andorra,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0
Antigua and Barbuda,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,6.0,3.0,0.0,2.0,0.0,0.0,1.8333333333333333
Argentina,1549.25,1549.25,1044.0,1044.0,1026.0,1094.0,1106.0,1380.0,1372.0,1463.0,1524.0,1741.0,1694.0,1801.0,1549.25,2307.0,1459.0,1549.25,2591.0,2142.0,1549.25
Armenia,73.0,68.0,63.0,23.0,16.0,31.0,42.0,58.0,36.0,43.0,38.5,31.0,17.0,14.0,24.0,38.5,38.5,38.5,38.5,38.5,38.5
Australia,110.72222222222223,102.0,135.0,114.0,113.0,94.0,99.0,118.0,114.0,96.0,134.0,125.0,128.0,116.0,142.0,118.0,110.72222222222223,86.0,76.0,83.0,110.72222222222223
Austria,37.0,26.0,28.0,40.0,42.0,26.0,20.0,33.0,29.0,38.0,33.0,33.0,35.578947368421055,32.0,24.0,96.0,33.0,39.0,39.0,28.0,35.578947368421055
Azerbaijan,293.125,311.0,326.0,269.0,295.0,277.0,294.0,331.0,261.0,288.0,353.0,279.0,293.125,332.0,304.0,320.0,260.0,190.0,293.125,293.125,293.125
Bahamas,6.25,6.25,6.25,6.25,6.25,10.0,4.0,6.0,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,5.0,6.25,6.25,6.25
Bahrain,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Barbados,2.5,2.5,2.5,2.5,2.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,7.0,2.0,5.0,1.0,11.0,2.5
Belarus,921.0,859.0,922.0,975.0,657.375,657.375,657.375,657.375,657.375,657.375,657.375,464.0,657.375,433.0,371.0,314.0,657.375,657.375,657.375,657.375,657.375
Belgium,225.0,225.0,225.0,225.0,225.0,225.0,225.0,213.0,246.0,294.0,249.0,229.0,245.0,225.0,99.0,225.0,225.0,225.0,225.0,225.0,225.0
Belize,41.166666666666664,41.166666666666664,41.166666666666664,41.166666666666664,41.166666666666664,41.166666666666664,41.166666666666664,41.166666666666664,41.166666666666664,41.166666666666664,41.166666666666664,32.0,41.166666666666664,5.0,41.166666666666664,41.166666666666664,33.0,8.0,81.0,88.0,41.166666666666664
Bermuda,2.0,3.125,1.0,3.0,3.125,3.125,3.125,3.125,3.125,3.125,7.0,3.125,3.125,3.125,3.125,6.0,4.0,1.0,1.0,3.125,3.125
Bolivia (Plurinational State of),1112.5,1112.5,1112.5,1112.5,1112.5,1112.5,1112.5,1112.5,1112.5,1112.5,1112.5,1112.5,1112.5,1112.5,1112.5,1112.5,1138.0,1087.0,1112.5,1112.5,1112.5
Bosnia and Herzegovina,102.93333333333334,102.93333333333334,102.93333333333334,102.93333333333334,102.93333333333334,115.0,104.0,111.0,109.0,108.0,177.0,101.0,79.0,92.0,101.0,98.0,72.0,78.0,113.0,86.0,102.93333333333334
