Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,2068.6363636363635,2068.6363636363635,2068.6363636363635,2068.6363636363635,2068.6363636363635,2068.6363636363635,1115.0,983.0,1231.0,1948.0,2068.6363636363635,2068.6363636363635,3367.0,2318.0,2424.0,2474.0,2712.0,2570.0,1613.0,2068.6363636363635,2068.6363636363635
Albania,166.0,131.0,154.0,95.0,105.0,93.0,85.0,119.0,142.0,157.0,124.0,134.0,64.0,79.0,58.0,66.0,65.0,61.0,66.0,48.0,39.0
Algeria,482.27777777777777,482.27777777777777,482.27777777777777,312.0,271.0,328.0,277.0,254.0,280.0,523.0,480.0,577.0,546.0,542.0,524.0,568.0,519.0,654.0,695.0,795.0,536.0
American Samoa,3.0,4.0,6.0,4.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,3.0,4.0,0.0,7.0,13.0,0.0,3.823529411764706,3.823529411764706,3.823529411764706,3.823529411764706
Andorra,0.45454545454545453,1.0,0.45454545454545453,0.45454545454545453,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,2.0,0.45454545454545453,0.45454545454545453,0.45454545454545453
Angola,1180.5,1180.5,1180.5,1180.5,1180.5,1180.5,1180.5,1180.5,1055.0,1217.0,1180.5,1180.5,1254.0,1196.0,1180.5,1180.5,1180.5,1180.5,1180.5,1180.5,1180.5
Anguilla,2.0,1.0,0.0,5.0,4.0,1.0,1.0,0.0,0.0,5.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Antigua and Barbuda,5.0,4.0,3.0,11.0,17.0,16.0,16.0,6.0,10.533333333333333,10.0,10.533333333333333,10.533333333333333,10.533333333333333,10.533333333333333,20.0,12.0,3.0,9.0,16.0,10.0,10.533333333333333
Argentina,2967.0,2338.0,2198.0,2111.0,2139.0,2371.0,2642.0,2384.0,2511.0,2648.0,3072.0,3228.0,2837.0,2625.0,2317.0,2384.0,2308.0,2418.0,2094.0,1961.0,2477.65
Armenia,71.44444444444444,83.0,58.0,79.0,77.0,97.0,97.0,56.0,71.0,65.0,63.0,72.0,75.0,87.0,70.0,50.0,73.0,52.0,61.0,71.44444444444444,71.44444444444444
Aruba,4.0,2.0,6.0,5.0,3.0,5.0,4.0,4.0,2.0,4.0,6.0,2.0,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665
Australia,302.0,263.0,259.0,281.0,255.0,261.0,263.0,231.0,248.0,243.0,245.0,243.0,236.0,227.0,208.0,221.0,225.0,221.0,193.0,220.0,226.0
Austria,50.0,59.0,54.0,61.0,45.0,58.0,51.0,61.0,77.0,81.0,61.0,42.0,44.0,54.0,70.0,86.0,77.0,65.0,65.0,79.0,80.0
Azerbaijan,203.73333333333332,203.73333333333332,203.73333333333332,203.73333333333332,189.0,192.0,203.73333333333332,206.0,211.0,202.0,221.0,236.0,211.0,169.0,182.0,197.0,168.0,230.0,197.0,245.0,203.73333333333332
Bahamas,50.0,44.0,52.0,61.0,78.0,73.0,87.0,94.0,127.0,110.0,119.0,122.0,146.0,111.0,122.0,91.0,95.0,73.0,119.0,128.0,95.1
Bahrain,5.75,5.75,5.75,5.75,4.0,6.0,13.0,2.0,12.0,9.0,11.0,9.0,3.0,4.0,6.0,5.0,4.0,0.0,1.0,3.0,5.75
Bangladesh,3471.0,3902.0,3592.0,4166.0,3863.0,4099.0,4219.0,3988.0,3966.0,4114.0,4393.0,4514.0,4035.0,3591.0,3549.0,3830.0,3955.75,3955.75,3955.75,3955.75,3955.75
Barbados,33.0,22.0,29.0,35.0,25.0,23.0,19.0,31.0,27.0,22.0,24.0,25.0,31.0,22.0,30.0,28.0,48.0,41.0,32.0,43.0,29.5
Belarus,369.15384615384613,369.15384615384613,369.15384615384613,369.15384615384613,649.0,552.0,487.0,401.0,373.0,340.0,333.0,340.0,326.0,307.0,240.0,226.0,225.0,369.15384615384613,369.15384615384613,369.15384615384613,369.15384615384613
Belgium,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
Belize,67.0,79.0,81.0,92.0,97.0,103.0,97.0,129.0,124.0,145.0,99.0,123.0,119.0,138.0,142.0,143.0,134.0,102.0,125.0,113.0,112.6
Bermuda,2.0,1.0,2.0,3.0,3.0,5.0,6.0,7.0,8.0,6.0,5.0,4.0,4.0,8.0,5.0,5.0,0.0,7.0,7.0,9.0,4.0
Bhutan,5.0,15.0,11.0,9.0,14.0,18.0,16.0,16.0,32.0,33.0,24.0,15.470588235294118,12.0,9.0,13.0,9.0,8.0,19.0,15.470588235294118,15.470588235294118,15.470588235294118
Bolivia (Plurinational State of),541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,543.0,642.0,747.0,574.0,497.0,428.0,418.0,485.0,535.0
Bosnia and Herzegovina,50.611111111111114,68.0,50.611111111111114,50.611111111111114,66.0,66.0,71.0,56.0,51.0,63.0,46.0,50.0,57.0,45.0,42.0,39.0,42.0,43.0,32.0,35.0,39.0
Botswana,312.0,259.0,291.0,261.0,280.0,281.0,289.0,303.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,221.0,273.0,277.0,277.0
Brazil,51064.0,48394.0,47593.0,49165.0,47731.0,50135.0,51461.0,52289.0,52233.0,56388.0,56845.0,59733.0,58184.0,61208.0,63788.0,55980.0,44073.0,47722.0,45562.0,44367.0,52195.75
British Virgin Islands,2.0,4.0,2.6666666666666665,2.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665
