Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,3.218,3.296,3.201,3.212,3.265,3.293,3.272,3.363,3.457,3.552,3.614,3.619,3.657,3.663,3.62,3.287,3.294
Albania,1.84,1.859,1.85,1.873,1.922,1.944,1.944,1.888,1.851,1.82,1.808,1.742,1.809,1.796,1.786,1.795,1.809
Algeria,2.269,2.251,2.293,2.345,2.307,2.253,2.227,2.169,2.192,2.186,2.193,2.195,2.143,2.174,2.068,2.102,2.11
Angola,2.124,2.042,2.124,2.113,2.068,2.105,2.122,1.975,2.036,2.024,2.012,1.973,2.008,2.01,1.979,2.119,2.043
Argentina,1.918,1.984,2.01,1.95,1.892,2.051,1.957,2.056,2.068,2.025,1.997,2.01,1.97,1.961,1.948,1.857,1.855
Armenia,2.223,2.254,2.332,2.238,2.197,2.248,2.138,2.118,2.18,2.154,2.164,2.123,1.975,2.069,1.991,2.044,2.052
Australia,1.466,1.474,1.455,1.492,1.513,1.485,1.422,1.46,1.49,1.489,1.503,1.513,1.501,1.549,1.614,1.581,1.536
Austria,1.344,1.356,1.378,1.406,1.384,1.319,1.313,1.286,1.265,1.335,1.291,1.292,1.296,1.338,1.308,1.299,1.313
Azerbaijan,2.323,2.399,2.353,2.373,2.399,2.414,2.393,2.424,2.422,2.424,2.372,2.359,2.106,2.428,2.219,2.187,2.248
Bahrain,1.931,1.888,1.875,2.154,2.16,2.108,2.117,2.172,2.207,2.247,2.263,2.219,2.134,2.12,2.148,2.143,2.072
Bangladesh,2.021,1.995,2.007,2.104,2.114,2.095,2.069,1.924,1.988,2.011,2.05,2.113,2.071,2.069,2.064,2.093,2.126
Belarus,2.353,2.275,2.26,2.242,2.188,2.168,2.176,2.213,2.121,2.082,2.129,2.068,2.046,2.253,2.301,2.29,2.291
Belgium,1.497,1.544,1.565,1.552,1.56,1.522,1.493,1.512,1.501,1.645,1.572,1.596,1.605,1.56,1.544,1.481,1.51
Benin,2.218,2.171,2.196,2.225,2.171,2.076,2.079,1.957,1.988,2.08,1.98,2.014,2.29,2.206,2.274,2.278,2.306
Bhutan,1.982,2.028,2.109,2.028,1.796,1.732,1.707,1.638,1.598,1.577,1.505,1.523,1.497,1.5,1.547,1.606,1.564
Bolivia,1.995,2.056,2.06,1.969,2.052,2.04,2.007,2.01,1.951,1.997,2.068,2.071,2.063,2.048,1.979,1.995,2.009
