Country,2013,2014,2015,2016,2017,2018,2019,2020,2021
Albania,2.6009515070819003,3.2916836626476176,3.326863966051459,3.104137855211806,3.1508319501957374,3.196737108636641,3.2757498130694676,3.336790867571766,3.203362306074432
Algeria,3.752511381185233,3.8330820547738105,3.7994564386712693,3.5884336263591314,3.702891718563011,3.692787704473194,3.742341291499344,3.626990350168409,3.473740342612069
Argentina,3.022876755027588,3.1126208201987935,3.044600089439483,3.1018293889740467,3.068170984658089,3.3209045688185768,2.919405831036531,2.9340013135705765,3.171352648459876
Armenia,3.7188055027641957,3.6390111789269906,3.474517637272297,3.38301982609121,3.5915214402688758,4.04956508306503,3.966632611354811,4.13465171729895,3.98238729216461
Australia,3.1657215348252654,3.2194578068902784,3.2243762725228704,3.2225252841061303,3.408328450462078,3.2854923407008503,3.243978293332242,3.141916423725492,3.1430473159718133
Austria,3.268341343012417,3.7134698281564322,3.6658549078342766,3.4438084420391046,3.3321541835860584,3.888832505907388,3.3338639643316217,3.482479545720713,3.4481321159384644
Azerbaijan,3.6970666869453197,3.8527744782948026,3.5008404676510207,3.661131668323889,3.817816821878033,3.6913248953042643,3.73086222949694,3.5719337629551724,3.8704692032244017
Bahrain,3.4670540543273507,3.731575701286794,3.5724471366749566,3.618393489389784,3.5529615891838615,3.5495726122380997,3.6973289367426627,4.496149829538336,4.431424746282962
Belarus,3.81325225482763,3.8276668151699798,3.7703756308785317,3.732134106282523,3.8872260158565437,3.7787765035316863,3.964456554719277,3.9953121633102007,3.265510592068335
Belgium,3.655699343966537,3.73576694612652,3.732545065572849,3.705850001242006,3.5992655108272302,3.797372609336847,3.8157849110363378,3.7424085675073533,3.697217355149084
Bulgaria,3.0939154821237143,3.155467078678783,3.184131511545678,3.255073532310525,3.0124977135174666,3.0464856913501994,3.113415022625151,2.944331328251993,2.9050145635986717
Canada,2.9111768399521236,2.9082641683660926,2.901907630736341,2.779395804107563,2.8113403963435606,2.801119488297886,2.8495845552689523,2.780420901878688,2.7025692335864955
Chile,3.5616770834628446,3.489221880839917,3.552726907579031,3.650654063259483,3.5316854311538606,3.55859416496808,3.5003559292198174,3.1968199711853256,3.4738524212716784
China,3.19507097476557,3.231515823474077,2.911439797283372,2.9040236094348106,3.0650743862606706,3.026725616854846,2.916571818458044,3.157277807821308,2.8483705769402614
Colombia,3.295367125994331,3.2507285581734178,3.2276457763308457,3.2563470014944467,3.317239978010348,3.392517168217907,3.3181009187737995,3.261612877259391,3.101462910383899
Croatia,3.426638923766961,3.67394452383783,3.5691017871875266,3.7082096990233833,3.813068236035143,3.7946378227675153,3.8458913489116187,3.8263018320207784,3.7945805810141255
Cyprus,4.377943067800662,4.0233230859630575,3.764314633650983,3.942188776764014,4.184281962482949,3.338749759038104,3.6281890184355943,3.767998714439573,3.8590720884634617
